case,round,status,evidence
store-strict-open-lock-receipt,1,PASS,round-1.md#控制账
store-crash-before-commit-and-ack-loss,1,PASS,round-1.md#控制账
store-native-full-and-bounded-queue,1,PASS,round-1.md#控制账
effect-approval-revocation-unknown,1,PASS,round-1.md#效果与授权
controller-schema-input-stop-recovery,1,PASS,round-1.md#节点编排
artifact-corruption-concurrent-publication,1,PASS,round-1.md#节点编排
native-session-identity-tool-drain,1,PASS,round-1.md#原生会话
native-cross-process-bind-commit-recovery,1,PASS,round-1.md#组合验证
cordis-apply-dispose-reopen,1,PASS,round-1.md#组合验证
full-repository-regression,1,PASS,round-1.md#完整回归
offline-initialization,1,PASS,round-1.md#初始化与包
package-content-readback,1,PASS,round-1.md#初始化与包
production-channel-authentication,1,NOT_RUN,round-1.md#未验证边界
os-isolation-real-external-effect,1,NOT_RUN,round-1.md#未验证边界
business-latency-token-soak,1,NOT_RUN,round-1.md#未验证边界
controller-ready-restart,2,PASS,round-2.md#反例和修订
full-repository-regression,2,PASS,round-2.md#最终验证
controller-input-batch-byte-bound,3,PASS,round-3.md#反例与修订
full-repository-regression,3,PASS,round-3.md#交付验证
package-content-readback,3,PASS,round-3.md#交付验证
